Type,Commodity,KGs,Value_of_Goods_Exported,Date
Cut-flowers,Anthurium leaves,3769.74,1707653,01/25/2015 12:00:00 AM
Cut-flowers,Cut foliage,9040.37,4476063,01/25/2015 12:00:00 AM
Cut-flowers,Fillers,58,18938,01/25/2015 12:00:00 AM
Cut-flowers,Leather leaves/fern,309.72,121856,01/25/2015 12:00:00 AM
Cut-flowers,Ranunculus,104,34827,01/25/2015 12:00:00 AM
Cut-flowers,Dried carnations,0,0,01/25/2015 12:00:00 AM
Cut-flowers,Dried rose,0,0,01/25/2015 12:00:00 AM
Cut-flowers,Achillea,0,0,01/25/2015 12:00:00 AM
Cut-flowers,Agapanthus,11721.28,1989548,01/25/2015 12:00:00 AM
Cut-flowers,Alstroemeria,63730.63,28055617,01/25/2015 12:00:00 AM
Cut-flowers,Amaranthus,1079.52,349166,01/25/2015 12:00:00 AM
Cut-flowers,Ammi,20596.77,6167402,01/25/2015 12:00:00 AM
Cut-flowers,Anigozanthos,64.01,30095,01/25/2015 12:00:00 AM
Cut-flowers,Anthurium,1962.37,784778,01/25/2015 12:00:00 AM
Cut-flowers,Arabicum / saundersiea,25007.89,5023325,01/25/2015 12:00:00 AM
Cut-flowers,Asclepias,0,0,01/25/2015 12:00:00 AM
Cut-flowers,Asparagus fern,31.92,6873,01/25/2015 12:00:00 AM
Cut-flowers,Assorted/bouquet,6540,1477396,01/25/2015 12:00:00 AM
Cut-flowers,Asters,0,0,01/25/2015 12:00:00 AM
Cut-flowers,Astrantia,2597.01,1395269,01/25/2015 12:00:00 AM
Cut-flowers,Bougainvillea,3498.84,1201898,01/25/2015 12:00:00 AM
Cut-flowers,Bouvadia,0,0,01/25/2015 12:00:00 AM
Cut-flowers,Brodiaea,1425.01,380671,01/25/2015 12:00:00 AM
Cut-flowers,Bupleurum,4491.98,2058992,01/25/2015 12:00:00 AM
Cut-flowers,Callistaphus,1.16,590,01/25/2015 12:00:00 AM
Cut-flowers,Calla lillies,18005.95,17110721,01/25/2015 12:00:00 AM
Cut-flowers,Campanula,0,0,01/25/2015 12:00:00 AM
Cut-flowers,Carnation / dianthus,159824.7,60272520,01/25/2015 12:00:00 AM
Cut-flowers,Carthamus,0,,01/25/2015 12:00:00 AM
Cut-flowers,Celosia/wool flowers,0,0,01/25/2015 12:00:00 AM
Cut-flowers,Chrysanthemums,6721.84,1626131,01/25/2015 12:00:00 AM
Cut-flowers,Craspedia,7130.38,1798755,01/25/2015 12:00:00 AM
Cut-flowers,Crocosmia / montbretia,872.12,283851,01/25/2015 12:00:00 AM
Cut-flowers,Delphinium,2856.28,910748,01/25/2015 12:00:00 AM
Cut-flowers,Eryngium,15088.75,7545784,01/25/2015 12:00:00 AM
Cut-flowers,Eucalyptus,361.31,128084,01/25/2015 12:00:00 AM
Cut-flowers,Euphorbia,0,0,01/25/2015 12:00:00 AM
Cut-flowers,Fennel/feoniculum,15.65,8765,01/25/2015 12:00:00 AM
Cut-flowers,Freesia,0,0,01/25/2015 12:00:00 AM
Cut-flowers,Gerbera,0,0,01/25/2015 12:00:00 AM
Cut-flowers,Germini,0,0,01/25/2015 12:00:00 AM
Cut-flowers,Gladiolus,99.19,27280,01/25/2015 12:00:00 AM
Cut-flowers,Grass,902.03,283969,01/25/2015 12:00:00 AM
Cut-flowers,Gypsophilla / million stars,105346.93,36015301,01/25/2015 12:00:00 AM
Cut-flowers,Heliconia,2.67,2678,01/25/2015 12:00:00 AM
Vegetables,Celery,5,30,04/25/2015 12:00:00 AM
Cut-flowers,Helianthus/sunflower,4968.2,1962185,01/25/2015 12:00:00 AM
Cut-flowers,Hypericum,135543.69,58752457,01/25/2015 12:00:00 AM
Cut-flowers,Ivy plants/hederas,0,0,01/25/2015 12:00:00 AM
Cut-flowers,Kangaroo paw,4162.37,623555,01/25/2015 12:00:00 AM
Cut-flowers,Lavender,194.12,39086,01/25/2015 12:00:00 AM
Cut-flowers,Liatris,74.32,13390,01/25/2015 12:00:00 AM
Cut-flowers,Lilies/longiflora,45956.39,38409470,01/25/2015 12:00:00 AM
Cut-flowers,Lisianthus/eustoma,24.04,38116,01/25/2015 12:00:00 AM
Cut-flowers,Mathiola,17994.4,14684837,01/25/2015 12:00:00 AM
Cut-flowers,Mixed flowers,190043.49,93280473,01/25/2015 12:00:00 AM
Cut-flowers,Mobbydick,5749.23,1389678,01/25/2015 12:00:00 AM
Cut-flowers,Molucella,782.51,296943,01/25/2015 12:00:00 AM
Cut-flowers,Orchids/cymbidium,0,0,01/25/2015 12:00:00 AM
Cut-flowers,Ornithogulum,14951.46,3085008,01/25/2015 12:00:00 AM
Cut-flowers,Papyrus,270,73560,01/25/2015 12:00:00 AM
Cut-flowers,Phlox,5334.59,3616211,01/25/2015 12:00:00 AM
Cut-flowers,Rosemary,765.33,304415,01/25/2015 12:00:00 AM
Cut-flowers,Roses,7979073.32,3185700257,01/25/2015 12:00:00 AM
Cut-flowers,Rudbeckia,371.95,88544,01/25/2015 12:00:00 AM
Cut-flowers,Ruscus/flower cabbage,2969.22,1198572,01/25/2015 12:00:00 AM
Cut-flowers,Scabiosa,2478.33,601192,01/25/2015 12:00:00 AM
Cut-flowers,Setaria,0,0,01/25/2015 12:00:00 AM
Cut-flowers,Solidago,120171.17,40435586,01/25/2015 12:00:00 AM
Cut-flowers,Statice/limonium,60040.47,20454035,01/25/2015 12:00:00 AM
Cut-flowers,Strelitzia/birds of paradise,129.65,25992,01/25/2015 12:00:00 AM
