Type,Commodity,KGs,Value_of_Goods_Exported,Date
Cut-flowers,Anthurium leaves,3769.74,1707653.0,01/25/2015 12:00:00 AM
Cut-flowers,Cut foliage,9040.37,4476063.0,01/25/2015 12:00:00 AM
Cut-flowers,Fillers,58.0,18938.0,01/25/2015 12:00:00 AM
Cut-flowers,Leather leaves/fern,309.72,121856.0,01/25/2015 12:00:00 AM
Cut-flowers,Ranunculus,104.0,34827.0,01/25/2015 12:00:00 AM
Cut-flowers,Agapanthus,11721.28,1989548.0,01/25/2015 12:00:00 AM
Cut-flowers,Alstroemeria,63730.63,28055617.0,01/25/2015 12:00:00 AM
Cut-flowers,Amaranthus,1079.52,349166.0,01/25/2015 12:00:00 AM
Cut-flowers,Ammi,20596.77,6167402.0,01/25/2015 12:00:00 AM
Cut-flowers,Anigozanthos,64.01,30095.0,01/25/2015 12:00:00 AM
Cut-flowers,Anthurium,1962.37,784778.0,01/25/2015 12:00:00 AM
Cut-flowers,Arabicum / saundersiea,25007.89,5023325.0,01/25/2015 12:00:00 AM
Cut-flowers,Asparagus fern,31.92,6873.0,01/25/2015 12:00:00 AM
Cut-flowers,Assorted/bouquet,6540.0,1477396.0,01/25/2015 12:00:00 AM
Cut-flowers,Astrantia,2597.01,1395269.0,01/25/2015 12:00:00 AM
Cut-flowers,Bougainvillea,3498.84,1201898.0,01/25/2015 12:00:00 AM
Cut-flowers,Brodiaea,1425.01,380671.0,01/25/2015 12:00:00 AM
Cut-flowers,Bupleurum,4491.98,2058992.0,01/25/2015 12:00:00 AM
Cut-flowers,Callistaphus,1.16,590.0,01/25/2015 12:00:00 AM
Cut-flowers,Calla lillies,18005.95,17110721.0,01/25/2015 12:00:00 AM
Cut-flowers,Carnation / dianthus,159824.7,60272520.0,01/25/2015 12:00:00 AM
Cut-flowers,Chrysanthemums,6721.84,1626131.0,01/25/2015 12:00:00 AM
Cut-flowers,Craspedia,7130.38,1798755.0,01/25/2015 12:00:00 AM
Cut-flowers,Crocosmia / montbretia,872.12,283851.0,01/25/2015 12:00:00 AM
Cut-flowers,Delphinium,2856.28,910748.0,01/25/2015 12:00:00 AM
Cut-flowers,Eryngium,15088.75,7545784.0,01/25/2015 12:00:00 AM
Cut-flowers,Eucalyptus,361.31,128084.0,01/25/2015 12:00:00 AM
Cut-flowers,Fennel/feoniculum,15.65,8765.0,01/25/2015 12:00:00 AM
Cut-flowers,Gladiolus,99.19,27280.0,01/25/2015 12:00:00 AM
Cut-flowers,Grass,902.03,283969.0,01/25/2015 12:00:00 AM
Cut-flowers,Gypsophilla / million stars,105346.93,36015301.0,01/25/2015 12:00:00 AM
Cut-flowers,Heliconia,2.67,2678.0,01/25/2015 12:00:00 AM
Vegetables,Celery,5.0,30.0,04/25/2015 12:00:00 AM
Cut-flowers,Helianthus/sunflower,4968.2,1962185.0,01/25/2015 12:00:00 AM
Cut-flowers,Hypericum,135543.69,58752457.0,01/25/2015 12:00:00 AM
Cut-flowers,Kangaroo paw,4162.37,623555.0,01/25/2015 12:00:00 AM
Cut-flowers,Lavender,194.12,39086.0,01/25/2015 12:00:00 AM
Cut-flowers,Liatris,74.32,13390.0,01/25/2015 12:00:00 AM
Cut-flowers,Lilies/longiflora,45956.39,38409470.0,01/25/2015 12:00:00 AM
Cut-flowers,Lisianthus/eustoma,24.04,38116.0,01/25/2015 12:00:00 AM
Cut-flowers,Mathiola,17994.4,14684837.0,01/25/2015 12:00:00 AM
Cut-flowers,Mixed flowers,190043.49,93280473.0,01/25/2015 12:00:00 AM
Cut-flowers,Mobbydick,5749.23,1389678.0,01/25/2015 12:00:00 AM
Cut-flowers,Molucella,782.51,296943.0,01/25/2015 12:00:00 AM
Cut-flowers,Ornithogulum,14951.46,3085008.0,01/25/2015 12:00:00 AM
Cut-flowers,Papyrus,270.0,73560.0,01/25/2015 12:00:00 AM
Cut-flowers,Phlox,5334.59,3616211.0,01/25/2015 12:00:00 AM
Cut-flowers,Rosemary,765.33,304415.0,01/25/2015 12:00:00 AM
Cut-flowers,Roses,7979073.32,3185700257.0,01/25/2015 12:00:00 AM
Cut-flowers,Rudbeckia,371.95,88544.0,01/25/2015 12:00:00 AM
Cut-flowers,Ruscus/flower cabbage,2969.22,1198572.0,01/25/2015 12:00:00 AM
Cut-flowers,Scabiosa,2478.33,601192.0,01/25/2015 12:00:00 AM
